"","0","1","p","test"
"n","4239","1697","",""
"age (mean (SD))","63.04 (7.61)","69.21 (8.96)","<0.001",""
"gender_female (mean (SD))","0.00 (0.00)","0.00 (0.00)","NaN",""
"Tobacco smoking status NHIS (mean (SD))","0.39 (0.49)","0.49 (0.50)","<0.001",""
"Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure) (mean (SD))","0.87 (0.34)","0.73 (0.44)","<0.001",""
"Body Mass Index (mean (SD))","28.85 (1.95)","28.57 (1.98)","<0.001",""
"Chronic obstructive bronchitis (disorder) (mean (SD))","0.03 (0.17)","0.00 (0.06)","<0.001",""
"Pneumonia (disorder) (mean (SD))","0.04 (0.20)","0.00 (0.02)","<0.001",""
"Asthma (mean (SD))","0.00 (0.03)","0.00 (0.00)","0.206",""
"Acute deep venous thrombosis (disorder) (mean (SD))","0.01 (0.11)","0.00 (0.00)","<0.001",""
"Followup (mean (SD))","1829.19 (1055.41)","2394.76 (881.41)","<0.001",""
"Exposure (mean (SD))","0.18 (0.38)","0.25 (0.43)","<0.001",""
"asian (mean (SD))","0.07 (0.26)","0.07 (0.26)","0.994",""
"white (mean (SD))","0.81 (0.39)","0.84 (0.36)","0.002",""
"black (mean (SD))","0.09 (0.29)","0.07 (0.25)","0.005",""
"hawaiian (mean (SD))","0.01 (0.11)","0.01 (0.08)","0.077",""
"native (mean (SD))","0.01 (0.08)","0.00 (0.02)","0.003",""
"no_cancer (mean (SD))","0.95 (0.22)","0.99 (0.08)","<0.001",""
"stage4 (mean (SD))","0.01 (0.08)","0.00 (0.00)","0.002",""
"stage1a (mean (SD))","0.02 (0.13)","0.00 (0.06)","<0.001",""
"stage2a (mean (SD))","0.01 (0.09)","0.00 (0.02)","0.001",""
"stage3a (mean (SD))","0.01 (0.10)","0.00 (0.02)","<0.001",""
"stage1b (mean (SD))","0.00 (0.02)","0.00 (0.00)","0.527",""
"stage2b (mean (SD))","0.00 (0.07)","0.00 (0.02)","0.019",""
"stage3b (mean (SD))","0.00 (0.06)","0.00 (0.00)","0.018",""
